FinalWgt,CR1,CR2,ITR3,ITR4,OR1,CR5,CR6,CR7,CR8,ITR10,CR9,CR10,CR11,CR12,CR13,CR14,ITR17,ELR2,CR15,CR16,CR17,CR18,CR19,ITR24,CR20,CR21,ITR27,ITR28,CR22,OR59,OR60,ITR32,ITR33,ITR34,CR23,CR25,ITR37,ITR38,ITR39,ITR40,ITR41,ITR42,ITR43,OR22,ITR45,ITR46,ITR47,ITR48,ITR49,CR30,CR31,CR32,CR33,ITR54,ITR55,CR35,CR36,ITR58,ITR59,ITR60,ITR61,ITR62,ITR63,ITR64,CR41,CR42,CR43,OR24,OR45,OR46,OR48,OR49,ITR73,OR53,ITR75,OR55,ITR77,OR57,OR62,ITR80,Stratum,PSU
1230.58,5.00,1.00,3.00,3.00,3.00,1.00,6.00,2.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,5.00,1.00,2.00,3.00,3.00,6.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,3.00,1.00,1.00,4.00,2.00,1.00,2.00,2.00,2.00,2.00,5.00,1.00,3.00,3.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,1.00,2.00,2.00,2.00,3.00,3.00,4.00,2.00,3.00,1.00,4.00,2.00,1.00,3.00,3.00,3.00,1.00,4.00,2.00,1.00,2.00,2.00,2.00,3.00,201801009.00,18.00
1230.58,5.00,1.00,3.00,3.00,3.00,1.00,6.00,3.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,4.00,2.00,6.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,3.00,2.00,3.00,1.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,2.00,7.00,1.00,2.00,1.00,3.00,1.00,2.00,2.00,2.00,3.00,,2.00,2.00,3.00,4.00,2.00,2.00,3.00,1.00,4.00,2.00,1.00,2.00,1.00,1.00,2.00,4.00,4.00,1.00,2.00,1.00,1.00,2.00,201801009.00,18.00
1230.58,5.00,1.00,3.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,5.00,1.00,1.00,2.00,3.00,3.00,2.00,2.00,3.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,5.00,1.00,1.00,2.00,3.00,3.00,2.00,4.00,2.00,2.00,2.00,2.00,2.00,3.00,201801009.00,18.00
1230.58,5.00,1.00,3.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,2.00,2.00,2.00,1.00,3.00,2.00,3.00,2.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,2.00,2.00,1.00,3.00,3.00,3.00,,,3.00,1.00,1.00,1.00,1.00,3.00,3.00,4.00,2.00,2.00,1.00,3.00,2.00,2.00,4.00,3.00,1.00,2.00,2.00,2.00,3.00,201801009.00,18.00
1230.58,5.00,1.00,3.00,4.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,5.00,2.00,4.00,2.00,2.00,2.00,1.00,3.00,1.00,4.00,1.00,4.00,4.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,2.00,3.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,3.00,3.00,1.00,2.00,3.00,3.00,4.00,1.00,2.00,2.00,3.00,3.00,1.00,4.00,,,2.00,1.00,1.00,3.00,201801009.00,18.00
720.40,5.00,2.00,3.00,1.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,7.00,1.00,2.00,1.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,3.00,1.00,3.00,2.00,3.00,1.00,3.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,1.00,3.00,201801010.00,19.00
720.40,5.00,2.00,3.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,3.00,2.00,1.00,1.00,1.00,4.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,3.00,2.00,1.00,2.00,1.00,2.00,2.00,4.00,3.00,2.00,1.00,1.00,1.00,1.00,201801010.00,19.00
720.40,5.00,2.00,3.00,3.00,3.00,1.00,6.00,2.00,2.00,3.00,1.00,2.00,2.00,2.00,2.00,2.00,4.00,1.00,2.00,3.00,3.00,6.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,3.00,3.00,2.00,1.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,5.00,3.00,1.00,3.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,3.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,3.00,1.00,3.00,1.00,1.00,2.00,3.00,3.00,1.00,4.00,3.00,1.00,2.00,1.00,2.00,3.00,201801010.00,19.00
720.40,5.00,2.00,3.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,3.00,3.00,2.00,1.00,2.00,4.00,2.00,2.00,2.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,4.00,2.00,5.00,1.00,1.00,2.00,1.00,2.00,1.00,4.00,4.00,2.00,2.00,2.00,1.00,2.00,201801010.00,19.00
720.40,5.00,2.00,3.00,5.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,5.00,2.00,2.00,1.00,3.00,3.00,1.00,1.00,1.00,4.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,3.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,3.00,2.00,4.00,1.00,3.00,3.00,1.00,3.00,2.00,4.00,4.00,1.00,2.00,1.00,1.00,2.00,201801010.00,19.00
907.33,4.00,1.00,3.00,3.00,3.00,1.00,6.00,3.00,2.00,3.00,1.00,1.00,2.00,2.00,2.00,2.00,5.00,1.00,2.00,4.00,3.00,6.00,1.00,2.00,1.00,3.00,2.00,1.00,1.00,3.00,3.00,2.00,1.00,1.00,3.00,2.00,1.00,2.00,1.00,2.00,1.00,5.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,1.00,2.00,2.00,3.00,4.00,4.00,4.00,3.00,2.00,3.00,3.00,2.00,3.00,2.00,,3.00,1.00,3.00,2.00,2.00,1.00,1.00,1.00,2.00,201801010.00,19.00
907.33,4.00,1.00,3.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,5.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,1.00,3.00,3.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,3.00,2.00,3.00,3.00,1.00,3.00,2.00,1.00,3.00,3.00,3.00,4.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,201801010.00,19.00
907.33,5.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,4.00,2.00,2.00,1.00,3.00,3.00,2.00,1.00,4.00,3.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,3.00,3.00,4.00,2.00,2.00,2.00,3.00,3.00,2.00,4.00,4.00,1.00,2.00,3.00,1.00,2.00,201801010.00,19.00
907.33,5.00,1.00,3.00,1.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,5.00,3.00,2.00,1.00,1.00,3.00,4.00,3.00,1.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,3.00,2.00,5.00,2.00,3.00,2.00,3.00,3.00,2.00,4.00,4.00,1.00,2.00,1.00,2.00,3.00,201801010.00,19.00
907.33,5.00,1.00,3.00,2.00,1.00,1.00,6.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,3.00,6.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,3.00,3.00,4.00,2.00,4.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,5.00,1.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,1.00,2.00,1.00,3.00,2.00,1.00,4.00,1.00,1.00,2.00,3.00,3.00,1.00,3.00,2.00,1.00,2.00,3.00,2.00,3.00,201801010.00,19.00
907.33,5.00,1.00,3.00,3.00,1.00,1.00,6.00,5.00,4.00,5.00,1.00,1.00,2.00,5.00,2.00,2.00,5.00,1.00,4.00,4.00,3.00,3.00,5.00,2.00,2.00,5.00,1.00,1.00,1.00,3.00,3.00,4.00,1.00,1.00,4.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,4.00,3.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,2.00,3.00,1.00,2.00,2.00,3.00,4.00,4.00,4.00,4.00,4.00,1.00,2.00,2.00,1.00,2.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,1.00,1.00,3.00,201801010.00,19.00
907.33,5.00,1.00,3.00,3.00,2.00,1.00,5.00,6.00,3.00,4.00,1.00,1.00,4.00,6.00,1.00,2.00,3.00,2.00,4.00,3.00,3.00,3.00,1.00,1.00,3.00,5.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,5.00,3.00,1.00,1.00,4.00,3.00,7.00,3.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,4.00,4.00,4.00,4.00,3.00,1.00,1.00,2.00,1.00,4.00,3.00,3.00,6.00,3.00,2.00,1.00,2.00,3.00,2.00,3.00,201801010.00,19.00
907.33,5.00,1.00,3.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,3.00,3.00,3.00,1.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,3.00,1.00,2.00,2.00,3.00,3.00,1.00,2.00,1.00,1.00,3.00,4.00,2.00,5.00,1.00,3.00,3.00,2.00,4.00,3.00,1.00,2.00,1.00,1.00,1.00,201801010.00,19.00
907.33,5.00,1.00,3.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,5.00,2.00,1.00,1.00,3.00,3.00,3.00,4.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,5.00,1.00,1.00,2.00,1.00,2.00,3.00,1.00,3.00,1.00,3.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,5.00,1.00,4.00,2.00,3.00,2.00,2.00,4.00,4.00,2.00,2.00,3.00,1.00,1.00,201801010.00,19.00
907.33,5.00,1.00,3.00,4.00,3.00,1.00,5.00,4.00,4.00,3.00,1.00,1.00,3.00,3.00,2.00,2.00,3.00,1.00,4.00,3.00,3.00,3.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,3.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,3.00,4.00,4.00,4.00,3.00,2.00,1.00,2.00,2.00,1.00,1.00,3.00,1.00,5.00,4.00,2.00,1.00,2.00,2.00,2.00,1.00,201801010.00,19.00
907.33,5.00,1.00,3.00,5.00,3.00,1.00,5.00,,,5.00,1.00,2.00,2.00,7.00,1.00,2.00,3.00,1.00,2.00,2.00,2.00,6.00,2.00,1.00,5.00,5.00,1.00,1.00,2.00,4.00,4.00,3.00,3.00,2.00,4.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,1.00,2.00,3.00,3.00,1.00,3.00,1.00,1.00,2.00,2.00,3.00,1.00,1.00,2.00,3.00,1.00,4.00,1.00,4.00,3.00,1.00,4.00,2.00,3.00,3.00,3.00,3.00,1.00,4.00,4.00,1.00,1.00,2.00,1.00,3.00,201801010.00,19.00
907.33,6.00,1.00,3.00,4.00,3.00,1.00,5.00,5.00,2.00,3.00,1.00,2.00,2.00,6.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,5.00,2.00,2.00,3.00,3.00,2.00,1.00,1.00,3.00,2.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,3.00,3.00,3.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,4.00,4.00,4.00,4.00,3.00,1.00,1.00,2.00,4.00,3.00,3.00,1.00,4.00,4.00,,,2.00,1.00,1.00,2.00,201801010.00,19.00
907.33,7.00,1.00,3.00,5.00,3.00,1.00,6.00,7.00,6.00,3.00,1.00,1.00,4.00,3.00,2.00,2.00,3.00,1.00,3.00,4.00,4.00,5.00,1.00,1.00,3.00,5.00,2.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,,3.00,1.00,1.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,3.00,4.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,201801010.00,19.00
367.56,5.00,2.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,3.00,3.00,4.00,1.00,3.00,4.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,5.00,2.00,1.00,1.00,3.00,2.00,1.00,4.00,4.00,1.00,2.00,1.00,2.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,3.00,3.00,3.00,2.00,4.00,4.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,1.00,2.00,1.00,4.00,1.00,3.00,2.00,1.00,2.00,3.00,3.00,1.00,4.00,4.00,2.00,2.00,2.00,1.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,3.00,2.00,1.00,1.00,3.00,3.00,3.00,2.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,1.00,1.00,2.00,7.00,1.00,2.00,3.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,3.00,4.00,4.00,3.00,4.00,3.00,1.00,3.00,2.00,1.00,1.00,3.00,1.00,6.00,4.00,2.00,2.00,2.00,2.00,2.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,4.00,2.00,1.00,1.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,1.00,1.00,4.00,1.00,3.00,2.00,2.00,3.00,1.00,1.00,6.00,4.00,4.00,2.00,2.00,3.00,1.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,3.00,1.00,1.00,4.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,5.00,2.00,1.00,1.00,2.00,1.00,1.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,1.00,3.00,1.00,1.00,3.00,3.00,5.00,1.00,2.00,1.00,3.00,3.00,2.00,4.00,3.00,2.00,1.00,1.00,2.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,3.00,1.00,4.00,2.00,1.00,2.00,3.00,3.00,1.00,4.00,3.00,1.00,2.00,2.00,2.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,3.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,3.00,3.00,4.00,4.00,2.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,2.00,1.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,1.00,3.00,1.00,1.00,4.00,3.00,5.00,1.00,1.00,1.00,3.00,3.00,1.00,4.00,3.00,1.00,2.00,3.00,1.00,4.00,201801010.00,20.00
367.56,5.00,2.00,3.00,4.00,3.00,1.00,6.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,3.00,1.00,1.00,4.00,2.00,1.00,4.00,2.00,2.00,1.00,2.00,2.00,3.00,1.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,3.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,1.00,3.00,3.00,3.00,2.00,3.00,4.00,1.00,1.00,3.00,3.00,3.00,1.00,4.00,3.00,1.00,2.00,1.00,1.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,4.00,3.00,1.00,6.00,1.00,1.00,2.00,2.00,2.00,2.00,5.00,2.00,2.00,5.00,1.00,2.00,2.00,2.00,6.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,3.00,3.00,3.00,1.00,2.00,3.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,3.00,1.00,3.00,3.00,6.00,4.00,3.00,1.00,2.00,1.00,1.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,4.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,3.00,3.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,4.00,3.00,3.00,2.00,1.00,1.00,3.00,1.00,6.00,4.00,4.00,1.00,2.00,2.00,1.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,4.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,4.00,3.00,2.00,1.00,1.00,3.00,3.00,2.00,1.00,1.00,4.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,1.00,2.00,1.00,1.00,4.00,1.00,4.00,2.00,3.00,2.00,1.00,1.00,2.00,4.00,3.00,1.00,2.00,3.00,1.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,5.00,3.00,1.00,6.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,6.00,2.00,2.00,3.00,4.00,2.00,1.00,1.00,4.00,2.00,2.00,1.00,1.00,4.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,3.00,1.00,2.00,7.00,1.00,1.00,3.00,3.00,1.00,2.00,2.00,1.00,3.00,2.00,2.00,2.00,2.00,4.00,2.00,4.00,2.00,1.00,3.00,2.00,1.00,2.00,3.00,3.00,1.00,4.00,2.00,1.00,2.00,2.00,2.00,3.00,201801010.00,20.00
367.56,5.00,2.00,3.00,5.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,5.00,2.00,2.00,1.00,3.00,3.00,2.00,1.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,3.00,3.00,3.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,4.00,3.00,3.00,2.00,3.00,2.00,3.00,1.00,2.00,3.00,2.00,1.00,2.00,3.00,1.00,3.00,201801010.00,20.00
426.19,4.00,2.00,2.00,1.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,1.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,3.00,3.00,5.00,1.00,1.00,1.00,3.00,2.00,2.00,4.00,4.00,1.00,2.00,2.00,2.00,3.00,201801010.00,20.00
426.19,4.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,3.00,3.00,3.00,2.00,2.00,4.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,5.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,3.00,1.00,4.00,1.00,1.00,1.00,3.00,3.00,1.00,4.00,4.00,2.00,2.00,3.00,2.00,3.00,201801010.00,20.00
426.19,4.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,3.00,2.00,2.00,3.00,1.00,3.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,4.00,3.00,5.00,1.00,1.00,1.00,1.00,2.00,2.00,4.00,4.00,1.00,2.00,2.00,1.00,4.00,201801010.00,20.00
426.19,4.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,5.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,3.00,2.00,1.00,1.00,3.00,3.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,5.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,3.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,4.00,1.00,5.00,2.00,3.00,2.00,3.00,3.00,1.00,4.00,4.00,1.00,2.00,3.00,1.00,3.00,201801010.00,20.00
